,rain,temperature,length
0,Yes,93.25595474000735,7.548188842995233
1,No,65.94842918777047,8.586704786061924
2,Yes,95.11167929428133,8.002269198521592
3,No,67.33018613370561,9.499620398937248
4,Yes,85.66627949671172,7.621792491259191
5,No,87.24872075201243,10.32014357966971
6,Yes,70.948563729033,7.074259609072797
7,Yes,88.34733401631877,8.305787227661162
8,Yes,81.74873957733531,7.727528365118276
9,No,69.21138260905853,8.020283456664517
10,Yes,66.14424620604677,7.401022536214619
11,No,78.42072153610881,9.848677564412814
12,Yes,63.393465253358954,7.190909972060288
13,No,68.7150943250805,9.113899718652789
14,No,79.22241518978069,10.387387098708183
15,No,79.1812163449507,9.70772493767812
16,No,66.3336998546176,9.628419267621133
17,No,79.59185149300114,10.920942887615379
18,No,84.40181012280993,10.587797108488624
19,No,90.13787551250125,9.052898783215433
20,No,58.343763390622414,7.928985349401832
21,No,78.77991875566143,9.958660432525368
22,No,77.52856437766215,10.254810338467806
23,No,92.31179162591776,9.746199603791133
24,No,61.11461027424842,8.77061856409861
25,No,71.01254030523792,9.321410818105837
26,No,70.05275717346663,9.852026407142185
27,No,100.4976875036884,10.024793181633616
28,No,66.8550589133266,8.913970180295339
29,Yes,98.6557645992498,8.089023560031032
30,No,66.1091755278608,10.467089440032995
31,No,76.79188160227552,8.253404871064838
32,No,64.37486771524097,9.061223522913942
33,Yes,71.54878353700659,7.287120540507198
34,No,49.02937488328736,9.392365712507551
35,No,74.27900119537458,9.308968035046737
36,Yes,72.78065208508782,8.222048805696945
37,No,52.256714961552696,9.28524010244494
38,No,78.75211685049977,10.127763068406816
39,No,78.0264884440025,10.106564257896954
40,No,86.2105685944735,10.116421067262745
41,Yes,86.86312899392269,7.615689249496407
42,Yes,79.23667429646821,7.242934805939187
43,No,81.81183660581289,9.119087790117442
44,No,52.55413988039412,8.130010332122568
45,No,79.26585714469888,8.99716603881711
46,Yes,70.1188991005702,7.1429298486744734
47,No,84.08116478986513,10.307440031241617
48,No,72.05133983914065,10.153318903488664
49,No,66.72694101881596,9.725648885899213
50,No,104.80571379233852,11.785833177816066
51,No,75.61622669428311,9.579881377405714
52,No,64.67343034209651,8.819081599383745
53,No,82.44865084706827,10.844901864224699
54,No,49.278510858395684,9.119636577508592
55,Yes,60.535693346015364,7.855825724020951
56,Yes,91.97621157001996,7.096683374578907
57,No,86.83516794813484,9.322138827412838
58,Yes,64.03615083451385,7.733031678592663
59,No,73.51409165537713,10.328494214394132
60,No,72.45080358168575,10.76432252951353
61,No,67.95384131922383,9.829327209571087
62,No,72.45373426653201,9.768452846777558
63,Yes,76.01835108379859,7.81930383135418
64,Yes,61.3179179808811,8.017265204830203
65,No,52.0958819635313,8.230455507125413
66,Yes,76.73461612337968,6.97334220750006
67,Yes,36.638057147872445,7.491491371069861
68,No,101.80228314774199,12.343496345579384
69,Yes,100.40576711722412,7.581716261738635
70,Yes,52.00725578917981,6.474500210453855
71,Yes,83.19909337528819,8.180931061280036
72,No,75.11670247184568,10.520046346559376
73,No,82.7801645107783,12.059044012949627
74,No,105.0565449603688,11.563262828610789
75,No,73.01645461277961,10.237124792853498
76,Yes,94.27711551987605,7.566868080503162
77,No,69.01946804765433,10.3062937859101
78,No,67.379555779593,8.981276485318542
79,Yes,56.19827896898161,7.075335888076001
80,No,51.39602951854019,7.878671541280105
81,No,81.39620790293354,10.22219428568868
82,No,67.46226579092811,9.272004888940595
83,Yes,80.51183541851734,8.97983466202669
84,No,95.87730516891082,11.174810214852338
85,No,61.77811871768485,8.950985549398533
86,No,69.26312673085455,10.449883849977281
87,No,87.73702358255356,9.114566317569741
88,No,63.0940803807595,9.896989348397863
89,Yes,63.619489425452436,7.697984054934893
90,No,60.523395503522735,8.093627494988313
91,No,45.275916875475744,8.481245760879707
92,No,66.95813805627309,9.62614839546907
93,No,68.5108354065523,8.68627084962687
94,Yes,103.9791747743277,8.420196569492337
95,No,61.78546488118741,8.589091949252351
96,Yes,67.44409812537752,8.066192636367056
97,No,76.9966111215854,9.996921159486156
98,Yes,74.48389202430954,7.877236993067978
99,No,75.89849468190789,10.791096467146286
100,No,73.9413211950033,8.70334768684439
